Dataset,ref_sp,ref_cs,clustalw_sp,clustalw_cs,muscle_sp,muscle_cs,t_coffee_sp,t_coffee_cs
BB11001,94.0,11.0,95,11,98,10,100,15
BB11002,330.0,78.0,314,60,357,195,348,198
BB11003,445.0,112.0,443,101,503,124,501,143
BB11004,377.0,203.0,279,33,395,199,392,239
BB11005,4578.0,96.0,3996,72,4967,265,4596,209
BB11006,756.0,96.0,678,38,905,138,836,148
BB11007,2475.0,43.0,2304,18,2580,113,2513,96
BB11008,134.0,122.0,181,153,222,205,216,266
BB11009,111.0,484.0,118,46,132,487,110,167
BB11010,318.0,110.0,433,34,531,207,515,230
BB11011,240.0,75.0,201,39,274,101,251,141
BB11012,470.0,55.0,476,53,483,62,481,63
BB11013,68.0,38.0,74,23,87,34,73,35
BB11014,1595.0,122.0,1573,115,1713,150,1705,145
BB11015,346.0,43.0,316,35,378,67,373,74
BB11016,1767.0,433.0,1549,138,1878,501,1821,565
BB11017,291.0,70.0,284,37,307,66,312,77
BB11018,6700.0,369.0,5955,175,6995,761,6987,753
BB11019,2775.0,89.0,2478,49,2983,163,2955,136
BB11020,1240.0,39.0,1211,28,1333,73,1294,79
BB11021,128.0,66.0,97,25,145,73,148,79
BB11022,53.0,195.0,60,81,78,103,84,102
BB11023,861.0,54.0,808,47,997,86,951,135
BB11024,277.0,245.0,258,64,332,290,321,341
BB11025,56.0,23.0,56,35,65,25,64,32
BB11026,253.0,1066.0,314,606,352,728,317,664
BB11027,577.0,266.0,540,192,695,226,665,301
BB11028,782.0,99.0,782,9,953,77,931,60
BB11029,99.0,77.0,112,47,113,50,113,56
BB11030,3534.0,100.0,2921,38,3695,230,3655,233
BB11031,2260.0,400.0,1962,129,2494,550,2322,600
BB11032,1139.0,157.0,1116,129,1287,228,1269,245
BB11033,875.0,21.0,868,6,998,177,965,242
BB11034,1852.0,422.0,1634,174,2106,468,2059,534
BB11035,163.0,68.0,170,58,171,53,167,53
BB11036,1514.0,79.0,1399,66,1679,201,1576,242
BB11037,489.0,872.0,440,805,575,844,572,839
BB11038,1555.0,220.0,1398,217,1703,390,1699,390
BB12001,6377.0,91.0,6119,69,6500,166,91,3
BB12002,763.0,38.0,763,34,789,39,330,17
BB12003,618.0,12.0,609,11,622,15,481,61
BB12004,8247.0,65.0,7953,63,8339,72,382,145
BB12005,2331.0,31.0,2298,37,2339,62,4145,184
BB12006,417.0,35.0,408,35,424,34,815,131
BB12007,8675.0,277.0,8512,248,8958,325,2442,125
BB12008,8347.0,176.0,8316,91,8556,193,129,11
BB12009,220.0,170.0,228,169,245,176,117,14
BB12010,1989.0,96.0,1956,94,2068,120,206,97
BB12011,13296.0,254.0,12677,214,13934,390,230,104
BB12012,468.0,284.0,472,247,532,255,441,41
BB12013,6333.0,145.0,6145,127,6389,184,72,23
BB12014,722.0,119.0,745,118,751,129,1670,85
BB12015,2232.0,110.0,1879,87,2381,189,374,53
BB12016,583.0,563.0,581,550,626,608,1603,126
BB12017,2908.0,107.0,2862,105,2951,146,292,35
BB12018,1892.0,352.0,1906,356,1915,366,6268,305
BB12019,2163.0,128.0,2443,160,2524,214,2916,132
BB12020,197.0,32.0,201,28,204,33,1257,55
BB12021,348.0,15.0,331,13,353,22,139,42
BB12022,424.0,122.0,438,136,468,213,50,17
BB12023,2227.0,151.0,2226,146,2316,173,901,98
BB12024,513.0,85.0,516,77,530,93,285,132
BB12025,232.0,92.0,167,8,253,100,60,16
BB12026,13008.0,160.0,12748,167,13262,181,285,20
BB12027,10880.0,102.0,10565,233,11151,155,635,87
BB12028,1854.0,146.0,1770,136,1956,239,672,18
BB12029,7996.0,57.0,8078,60,8504,88,116,32
BB12030,2380.0,257.0,2307,234,2618,305,2886,142
BB12031,13017.0,177.0,13085,179,13849,264,2230,364
BB12032,712.0,42.0,672,39,726,45,1197,69
BB12033,1897.0,195.0,1788,148,2146,262,798,27
BB12034,491.0,68.0,497,61,512,69,1699,125
BB12035,25985.0,163.0,24334,154,26474,219,167,24
BB12036,1432.0,33.0,1426,35,1443,34,1471,197
BB12037,10373.0,2401.0,10152,2386,10770,2486,551,110
BB12038,3381.0,2083.0,3208,2067,3514,2125,1540,103
BB12039,1002.0,363.0,924,349,1030,366,6460,154
BB12040,325.0,28.0,330,28,334,32,779,38
BB12041,612.0,42.0,572,32,642,55,623,12
BB12042,601.0,133.0,553,149,638,158,8309,70
BB12043,43080.0,113.0,40864,158,44723,422,2343,62
BB12044,9255.0,103.0,9257,91,9603,191,424,35
BB20001,4616.0,85.0,5180,99,5531,315,8915,306
BB20002,8900.0,370.0,9575,206,11617,2636,8518,269
BB20003,461480.0,84.0,463148,134,469347,332,251,176
BB20004,339429.0,124.0,349145,67,358783,274,2062,119
BB20005,127479.0,116.0,127276,80,131702,366,13930,362
